3,Overview of Software Engineering: What is Software Engineering? (ISE1),thilburn,pmm.2002.1
4,Introduction to Object-Oriented Design Patterns (DPAT1),,pmm.2003.1
5,Software Quality Concepts (QUA1),,hislop.2004.1
6,Use Case Modeling (REQ3),,thilburn.2003.1
7,Software Reviews (QUA2),,hislop.2004.2
8,Software Requirements: Simple Formal Modeling (REQ2),sebern,sebern.2003.1
9,Introduction to Software Engineering Professional Issues (OSE2),,thilburn.2004.1
11,Informal Requirements Modeling (REQ1),,sebern.2004.1
13,Introduction to Software Engineering Processes (SEP1),,pmm.2003.2
14,Code Inspection Exercise,,hislop.2004.3
15,Introduction to Software Engineering Ethics (OSE3),,jwg9538.2003.1
17,Introduction to the Personal Software Process (PRO2),,thilburn.2004.3
18,Understanding and Developing Managerial Skills,,mengel.2004.1
19,The Software Engineering Profession,,thilburn.2004.4
20,Variant of Introduction to Object-Oriented Design Patterns (DPAT1),,mmccracken.2004.1
24,Unit Testing,thilburn,thilburn.2004.5
31,Test Module,,
32,Test Upload,,
33,Phil Test,,
36,Phil test 3,,
39,Inspection Overview,,towhid.2005.1
40,Technology Evaluation and Review,,changliu.2005.1
42,Introduction to State Modeling,,
43,Introduction to Software Architecture,mbattig,mbattig.2005.1
44,Software Maintenance,rowemi,rowemi.2005.1
45,Extreme Programming,,SusanLincke.2005.1
46,Storyboard intro for requirements elicitation (REQ 3 - Elicitation),,chenoweth.2005.1
47,Problem Statement Creation and Use,,chenoweth.2005.1
48,Introduction to the Personal Software Process with scheduling exercise,,davec.2005.1
49,Developing technical leadership in software engineers,,chenoweth.2005.1
50,Report on Software Project Quality,almstrum,almstrum.2005.1
51,Foundation Programm Assignment,,hankley.2005.1
52,Black and White Box Testing,,smitchel.2005.1
53,Motivation for Design Principles and Patterns,,jvallino.2005.1
56,Software Maintenance Exercises,bagert,bagert.2005.1
57,Verification and Validation: A Quick Introduction,,towhid.2005.2
58,Applying Use Case Templates,,ssedighs.2005.1
59,Use Case Refinement,,ssedighs.2005.2
60,Usability Testing Introduction and Practical Exercises (long version),,almstrum.2005.2
61,Evaluation of Competing Architectural Designs,,changliu.2005.2
62,User-Interface Prototyping,,tomhorton.2005.1
64,Project Planning,burrise,
67,Team project on requirements elicitation and user interface prototyping,,mbattig.2005.2
68,Use Case Questions,,pgrabow.2005.1
69,Evaluating Object-Oriented Designs,,
78,Variant of Introduction to the Personal Software Process (PRO2),,davec.2005.2
88,,,
89,Test Driven Development and Mock Observers,,wellington.2005.1
