"ModuleID","CategoryID"
"110","40"
"78","30"
"78","17"
"78","64"
"78","23"
"82","67"
"83","29"
"84","42"
"84","43"
"85","67"
"86","33"
"116","29"
"122","9"
"125","68"
"126","29"
"109","35"
"111","17"
"111","21"
"106","42"
"106","43"
"127","9"
"123","8"
"128","22"
"130","28"
"131","16"
"131","31"
"131","36"
"133","21"
"133","32"
"133","43"
"134","22"
"138","17"
"138","21"
"138","0"
"142","22"
"144","33"
"145","33"
"146","33"
"148","65"
"143","64"
"149","16"
"150","19"
"151","65"
"153","38"
"157","33"
"159","30"
"159","28"
"159","31"
"159","19"
"160","22"
"161","8"
"163","33"
"164","33"
"165","33"
"166","5"
"167","17"
"167","18"
"176","42"
"176","43"
"177","65"
"178","4"
"178","7"
"178","8"
"178","9"
"189","43"
"91","40"
"79","17"
"79","21"
"80","44"
"104","30"
"104","31"
"104","32"
"87","40"
"115","68"
"136","2"
"129","42"
"147","8"
"162","5"
"135","8"
"135","9"
"135","7"
"135","4"
"137","68"
"139","17"
"139","21"
"158","33"
