ModuleID,DateTime,Description,LectureSize,LabSize,ExerciseSize,HomeworkSize,OtherSize,AuthorComments,Status,BaseID,Version,Submitter,SubmitterUserID,CheckInComments
110,14:00.7,"This module is designed to reinforce and extend earlier study and discussion of the discipline of software engineering, ethics and professional conduct, and what constitutes good software engineering practice.  After a discussion of ethical and professional issues, students are divided into teams and the teams carry out a case study analysis of the 1996 Ariane 5 accident.",60,0,60,0,0,This module is designed for use with senior level students. It would be appropriate for including as part of a capstone project course.,2,19,1,thilburn,thilburn,None.
78,8/7/02 00:00,"This module is designed to introduce the discipline of software engineering to students new to computing. Through reading, research, reporting and class discussion, students learn about the discipline - its content, its major problems, its goals, and the principal activities of software engineers.
",60,0,180,0,0,"This module is designed for use with first year students in computing (computer engineering, computer science, information systems, information technology, software engineering). It could also be used in a high school programming course to introduce the software engineering discipline.
",2,3,1,pmm,pmm,Initial version.
79,3/1/03 00:00,"This module introduces the concept of design patterns as tools for organizing and evaluating designs of small subsystems of components. The focus is on patterns per se, with only a slight nod towards systems of patterns (or pattern languages). In our experience, it is only after students have seen the power of individual patterns that they are ready to advance to using multiple patterns synergistically.
<br/><br/>
The presentation is based primarily on the seminal work in this area, namely <em>Design Patterns: Elements of Reusable Object-Oriented Software by Gamma, Helm, Johnson, and Vlissides</em> (often referred to as the Gang of Four book, or GOF).
",120,0,120,0,0,"This module is designed for use with second and third year students in computer engineering, computer science, and software engineering.",2,4,1,pmm,pmm,Initial version.
80,2/18/04 00:00,"This module introduces the concept of software quality and presents software quality attribute models. It is designed for use with first year students in software engineering or other computing disciplines. The expectation is that this may be a student's first exposure to the concept of software quality. As such, the material is organizes around defining quality independent of considering software, discussing quality of software in particular, and introducing the notion of trade-offs.",60,0,180,0,0,,2,5,1,hislop,hislop,Initial version.
86,7/30/03 00:00,This module is designed prepare students to perform use case analysis for a moderate sized software project.,60,0,0,120,0,"This module is designed for use with a course in software requirements, OO analysis and design, or something similar. The module is introductory in nature. The level of discussion is appropriate for the analysis of small to moderate systems (e.g., systems requiring one-half work year or less to develop) developed by students in an academic setting. It does not include certain detail and complexities that would be needed to develop larger systems, in a commercial or government setting.",2,6,1,thilburn,thilburn,Initial version.
82,2/24/04 00:00,"This module provides an overview of software reviews, walkthroughs and inspections. It then focus in more detail on formal technical reviews as an example of one review approach.",120,0,180,0,0,,2,7,1,hislop,hislop,Initial version.
83,3/8/03 00:00,"This module is designed to introduce the analysis and specification of software requirements using simple formal techniques and the Z notation. It is intended as preparation for more extensive use of formal methods of requirements analysis, specification, and verification. This module minimizes the complexity of requirements elicitation by using an example with which students should already be familiar, and uses the same example found in module REQ01 (informal specification).",120,0,180,0,0,"This module is appropriate for inclusion in a first course in software requirements or in a course that applies formal methods to the documentation and analysis of software requirements. The example used in the module exercise can also be used as a vehicle to work with informal specification and modeling, as in module REQ01. A primary purpose of this module on simple formal specification show students how formal methods can be used to compensate for some of the weaknesses inherent in informal specifications.",2,8,1,sebern,sebern,Initial version.
87,3/1/04 00:00,This module is designed to introduce students to software engineering professional issues.,30,0,150,0,0,"This module is designed for use with first year students in computing (computer engineering, computer science, information systems, information technology, software engineering); but, it could be used any place within a four year curriculum.",2,9,1,thilburn,thilburn,Initial version.
116,51:55.7,"This module is designed to introduce the analysis and specification of software requirements using simple formal techniques and the Z notation. It is intended as preparation for more extensive use of formal methods of requirements analysis, specification, and verification. This module minimizes the complexity of requirements elicitation by using an example with which students should already be familiar, and uses the same example found in module &quot;sebern.2004.1&quot; (REQ01, informal specification).",120,0,180,0,0,"This module is appropriate for inclusion in a first course in software requirements or in a course that applies formal methods to the documentation and analysis of software requirements. The example used in the module exercise can also be used as a vehicle to work with informal specification and modeling, as in module &quot;sebern.2004.1&quot;. A primary purpose of this module on simple formal specification show students how formal methods can be used to compensate for some of the weaknesses inherent in informal specifications.",0,8,2,sebern,sebern,
104,3/19/04 00:00,"This module is designed to introduce the analysis and specification of software requirements using informal techniques.

It is intended as preparation for the introduction of formal methods of requirements analysis, specification, and verification. It might also be used as a separate exercise.

This module minimizes the complexity of requirements elicitation by using an example that will already be familiar to most students.",120,0,120,0,0,"This module is appropriate for inclusion in a first course in software requirements or in a course that applies formal methods to the documentation and analysis of software requirements.

The example used in the module exercise can also be used as a vehicle for work with formal specification and modeling, as in a related module introducing formal specification (REQ2).",2,11,1,sebern,sebern,Initial version.
125,03:19.4,This module is designed to introduce students to the basic concepts and techniques of the unit testing.,70,0,60,0,0,"This module is designed for use with first or second year students in computing (computer engineering, computer science, information systems, information technology, software engineering).",2,24,2,thilburn,thilburn,Corrected some editing errrors.
84,5/29/03 00:00,"This module is designed to introduce students to the basic concepts of software engineering processes. Through reading, research, reporting and class discussion, students learn about software engineering processes - what they are, their value, and how to define and measure a simple process.",90,0,240,0,0,"This module is designed for use with first or second year students in computing (computer engineering, computer science, information systems, information technology, software engineering).",2,13,1,pmm,pmm,Initial version.
85,2/26/04 00:00,This module contains an exercise in formal inspection of code.  Students are requested to conduct individual inspections of the code using a checklist.  Each student files a report of results of the individual inspections in preparation for a formal inspection conducted as an in-class exercise.,0,0,0,0,0,"This exercise was kindly provided by John Noll as part of establishing an initial collection of modules in CSEET.  It was packaged and uploaded by Greg Hislop, so please blame Greg for any problems in those areas.",2,14,1,hislop,hislop,Initial version.
91,7/8/03 00:00,This module is designed to introduce students to software engineering ethical issues,30,0,45,0,0,"This module is designed for use with first year students in computing (computer engineering, computer science, information systems, information technology, software engineering); but, it could be used any place within a four year curriculum.
",2,15,1,jwg9538,jwg9538,Initial version.
122,16:27.2,"This is an overview of the inspection process. It is recommended to encourage students participation by performing a mock team selection, and performing a short inspection.",120,0,0,0,0,,2,39,1,towhid,towhid,.
106,43:04.6,"This module is designed to introduce students to the basic concepts and structure of the PSP (Personal Software Process). Through assigned reading, class lecture and discussion, and an exercise, students learn the basics of the PSP.",70,0,20,0,0,"This module is designed for use with first or second year students in computing (computer engineering, computer science, information systems, information technology, software engineering).",2,17,1,thilburn,thilburn,Hope this works.
109,03:45.1,"This module covers an introduction to management, how the transition to management may be made, how organization is used to facilitate management, and the types of functions managers perform:  planning, decision making, controlling, and evaluating.",240,0,240,560,0,"This module was created in order to enable students to understand the broader context of management.  This helps students understand where project management fits into an organization, what project management is, and the problems of project management.  In addition, this module facilitates the introduction of software engineering project management concepts to students by creating a common management vocabulary and taking advantage of management themes common to many disciplines.",2,18,1,mengel,mengel,I welcome comments and changes to improve the module.
111,27:20.8,"This module introduces the concept of design patterns as tools for organizing and evaluating designs of small subsystems of components. The focus is on patterns per se, with only a slight nod towards systems of patterns (or pattern languages). In our experience, it is only after students have seen the power of individual patterns that they are ready to advance to using multiple patterns synergistically.
<br/><br/>
The presentation is based primarily on the seminal work in this area, namely <em>Design Patterns: Elements of Reusable Object-Oriented Software by Gamma, Helm, Johnson, and Vlissides</em> (often referred to as the Gang of Four book, or GOF).
",120,0,120,0,0,"This module is designed for use with second and third year students in computer engineering, computer science, and software engineering.",2,20,1,mmccracken,mccracken,This updated module contains the long version of the assessment activities
115,09:59.4,This module is designed to introduce students to the basic concepts and techniques of the unit testing.,70,0,60,0,0,"This module is designed for use with first or second year students in computing (computer engineering, computer science, information systems, information technology, software engineering).",4,24,1,thilburn,thilburn,Hope this works!
123,12:02.0,"In software engineering project courses, different teams may work on different projects and often need to use different software tools, languages, and platforms to complete the projects. It is neither practical nor interesting to all students to teach all necessary technologies in classroom. The technology evaluation and review assignment is an attempt to help students learn new technologies independently and work in teams to adopt new technologies in their projects. This individual assignment consists of three to five stages and runs in parallel with term-long team projects.",0,0,0,0,0,,4,40,1,changliu,changliu,Initial draft
126,37:08.4,"This module is designed for use with a course in software requirements, OO analysis and design, or something similar. The module is introductory in nature. The level of discussion is appropriate for the analysis of small to moderate systems (e.g., systems requiring one-half work year or less to develop) developed by students in an academic setting. ",60,0,0,0,0,,0,42,1,frezza001,"Stephen Frezza, PhD, CSDP",
127,02:32.8,This lecture consists of 62 powerpoint slides and a handout to introduce students in a first undergraduate course in Software Engineering to the SEI material on Software Architecture.  The emphasis is on software quality and students will be asked to do two short homework exercises to reinforce the material.  The students in this course are Junior or Senior CS majors.,180,0,120,0,0,,2,43,1,mbattig,mbattig,"I have created a PowerPoint presentation, however, it is 24MB (well over the 4MB limit for this site).  "
128,59:49.6,UW-Plattevilles Course Syllabus for Software Maintenance class,0,0,0,0,0,UW-Plattevilles Course Syllabus for Software Maintenance class,4,44,1,rowemi,rowemi,First attemps
129,28:47.7,"These notes provide an introduction to Extreme Programming.<br>It includes an in-class exercise where 6-8 students work in a team for 2-3 hours to complete the assignment in a lab environment.<br>Then as a wrap-up exercise for the course we compare the differences between SEI CMM and XP.  How does each do inspections, testing, project planning, etc?",0,0,0,0,0,,2,45,1,SusanLincke,SusanLincke,Initial Revision
130,39:53.8,"Introduces students to sequential, rough sketches used to develop knowledge of a new product, jointly with stakeholders.",25,25,0,60,0,This is challenging to teach because the skills and values are largely artistic and interpersonal.,2,46,1,chenoweth,chenoweth,Intended to be the start of descriptions of several possible approaches to this subject.
