"ModuleID","TopicText","OrderID"
"78","What is software engineering?","1"
"78","What are the problems with software development and why is it so hard?","2"
"78","Identify the activities associated with software engineering as applied in the development of a software system.","3"
"79","What are design patterns?","1"
"79"," Where do patterns fit on the spectrum from general principles to specific concrete designs?","2"
"79","How are patterns organized and catalogued?","3"
"79","How are patterns described in a way that makes them useful?","4"
"79","How can one apply a pattern in practice?","5"
"80","Defining software quality","1"
"80","Attributes of software quality","2"
"80","Trade-offs and quality","3"
"82","General concept of a software review.","1"
"82","Overview of reviews, walkthroughs and inspections.","2"
"82","Details of formal technical reviews.","3"
"83","Techniques used in formal specification of software requirements.","1"
"83","Analysis and simple formal specification of software requirements.","2"
"83","Benefits of applying formal techniques to the modeling and analysis of software requirements.","3"
"84","Software development models","1"
"84","Basics of software processes","2"
"84","CMM-type processes","3"
"84","Agile processes","4"
"85","Formal inspections","1"
"86","Use Case Concepts and Terms","1"
"86","Developing a Use Case Model","2"
"86","Reviewing a Use Case Model ","3"
"86","Problems with Use Cases","4"
"87","The nature of, and role of professional societies","1"
"87","Accreditation, certification, and licensing","2"
"87","Social, legal, historical, and professional issues and concerns","3"
"87","Codes of ethics and professional conduct","4"
"91","The need for professional standards of conduct","1"
"91","Software Engineering Codes of ethics and professional conduct","2"
"104","Techniques used in informal specification of software requirements.","1"
"104","Analysis and informal specification of software requirements.","2"
"104","Strengths and weaknesses of informal specifications.","3"
"106","Process Fundamentals","1"
"106","PSP Concepts and Structure","2"
"106","PSP Planning and Measurement","3"
"106","PSP Quality Management","4"
"106","PSP Results","5"
"109","Introduction to management","1"
"109","How the transition to management may be made","2"
"109","How organization is used to facilitate management","3"
"109","Types of functions managers perform:  planning, decision making, controlling, and evaluating","4"
"110","Engineering Profession","1"
"110","Accreditation","2"
"110","Certification and Licensing","3"
"110","Professional Practice","4"
"110","Software Engineering Codes of ethics and Professional Conduct","5"
"111","What are design patterns?","1"
"111"," Where do patterns fit on the spectrum from general principles to specific concrete designs?","2"
"111","How are patterns organized and catalogued?","3"
"111","How are patterns described in a way that makes them useful?","4"
"111","How can one apply a pattern in practice?","5"
"115","Testing Fundamentals","1"
"115","Unit Testing Concepts and Techniques","2"
"115","Unit Test Planning","3"
"115","OO Testing","4"
"116","Techniques used in formal specification of software requirements.","1"
"116","Analysis and simple formal specification of software requirements.","2"
"116","Benefits of applying formal techniques to the modeling and analysis of software requirements.","3"
"122","Inspection process","1"
